reseau;station;trafic;corr_1;corr_2;corr_3;corr_4;corr_5;ville ;arrdt
METRO;HOTEL DE VILLE;12307363;1;11;;;;PARIS;4
METRO;ESPLANADE DE LA DEFENSE;9883008;1;A;;;;PUTEAUX;
METRO;FRANKLIN D. ROOSEVELT;9545487;1;9;;;;PARIS;8
METRO;NATION;8834660;1;2;6;9;A;PARIS;12
METRO;PLACE CLICHY;8020440;2;13;;;;PARIS;17
METRO;CHATEAU ROUGE;7306788;4;;;;;PARIS;18
METRO;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7215915;7;;;;;AUBERVILLIERS;
METRO;BIR-HAKEIM;6903648;6;;;;;PARIS;15
METRO;MAIRIE DE MONTROUGE;6849601;4;;;;;MONTROUGE;
METRO;COUR SAINT-EMILION;6043808;14;;;;;PARIS;12
METRO;VILLIERS;5667552;2;3;;;;PARIS;17
METRO;SEVRES-BABYLONE;5037509;10;12;;;;PARIS;7
METRO;RICHELIEU-DROUOT;5014491;8;9;;;;PARIS;9
METRO;PLAISANCE;4784211;13;;;;;PARIS;14
METRO;BIBLIOTHEQUE;19754334;14;C;;;;PARIS;13
METRO;SAINT-DENIS-UNIVERSITE;4770181;13;;;;;SAINT DENIS;
METRO;CHATELET;10766712;1;4;7;11;14;PARIS;1
METRO;CRETEIL-PREFECTURE;4663191;8;;;;;CRÉTEIL;
METRO;OPERA;10501357;3;7;8;A;;PARIS;9
METRO;BONNE NOUVELLE;4583027;8;9;;;;PARIS;10
METRO;PALAIS-ROYAL;9592920;1;7;;;;PARIS;1
METRO;GLACIERE;4498939;6;;;;;PARIS;13
METRO;STRASBOURG-SAINT-DENIS;9524965;4;8;9;;;PARIS;2
METRO;PORTE DE CLICHY;4495978;13;;;;;PARIS;17
METRO;GARE DU NORD;51141374;4;5;A;B;D;PARIS;10
METRO;PORTE DE CLIGNANCOURT;8393535;4;;;;;PARIS;18
METRO;PEREIRE;4446732;3;;;;;PARIS;17
METRO;SAINT-LAZARE;46923920;3;9;12;13;14;PARIS;8
METRO;HAVRE-CAUMARTIN;8277127;3;9;;;;PARIS;9
METRO;LA MUETTE;3991922;9;;;;;PARIS;16
METRO;GARE DE LYON;36512570;1;14;A;;;PARIS;12
METRO;CHARLES DE GAULLE-ETOILE;7296559;1;2;6;A;;PARIS;8
METRO;MENILMONTANT;3943809;2;;;;;PARIS;11
METRO;LA DEFENSE;16213921;1;A;;;;PUTEAUX;
METRO;STALINGRAD;6891050;2;5;7;;;PARIS;19
METRO;FORT D'AUBERVILLIERS;3889085;7;;;;;AUBERVILLIERS;
METRO;BELLEVILLE;10735544;2;11;;;;PARIS;10
METRO;LA CHAPELLE;6534340;2;;;;;PARIS;9
METRO;SAINT-GERMAIN DES PRES;3866889;4;;;;;PARIS;6
METRO;GARE D'AUSTERLITZ;9887549;5;10;;;;PARIS;13
METRO;LES SABLONS;6314665;1;;;;;NEUILLY SUR SEINE;
METRO;EGLISE DE PANTIN;3843796;5;;;;;PANTIN;
METRO;MADELEINE;8473016;8;12;14;;;PARIS;8
METRO;SAINT-MICHEL;6286034;4;B;C ;;;PARIS;5
METRO;VICTOR HUGO;3841033;2;;;;;PARIS;16
METRO;MAIRIE DE MONTREUIL;8106589;9;;;;;MONTREUIL;
METRO;PORTE D'ORLEANS;6259225;4;;;;;PARIS;14
METRO;ANATOLE FRANCE;3533091;3;;;;;LEVALLOIS-PERRET;
METRO;VILLEJUIF-LOUIS ARAGON;7198931;7;;;;;VILLEJUIF;
METRO;SAINT-MANDE-TOURELLE;6245865;1;;;;;SAINT MANDÉ;
METRO;POISSONNIERE;3466034;7;;;;;PARIS;10
METRO;GRANDS BOULEVARDS;6807424;8;9;;;;PARIS;9
METRO;PYRAMIDES;6069724;7;14;;;;PARIS;1
METRO;VAUGIRARD;3445009;12;;;;;PARIS;15
METRO;MONTPARNASSE-BIENVENUE;29857740;4;6;12;13;;PARIS;14
METRO;CHATEAU DE VINCENNES;6353285;1;;;;;VINCENNES;
METRO;MARCADET-POISSONNIERS;5973655;4;12;;;;PARIS;18
METRO;GARIBALDI;3330349;13;;;;;SAINT OUEN;
METRO;REPUBLIQUE;16596521;3;5;8;9;11;PARIS;11
METRO;MAIRIE DE CLICHY;6342058;13;;;;;CLICHY;
METRO;MIROMESNIL;5908201;9;13;;;;PARIS;8
METRO;PARMENTIER;3103492;3;;;;;PARIS;11
METRO;BASTILLE;13151192;1;5;8;;;PARIS;12
METRO;CONCORDE;6115023;1;8;12;;;PARIS;8
METRO;JAURES;5836196;2;5;7bis;;;PARIS;19
METRO;MAIRIE D'IVRY;3074561;7;;;;;IVRY;
METRO;PORTE MAILLOT;8226552;1;;;;;PARIS;16
METRO;GALLIENI;5595343;3;;;;;BAGNOLET;
METRO;PIGALLE;5599495;2;12;;;;PARIS;18
METRO;SAINT-AUGUSTIN;3052723;9;;;;;PARIS;8
METRO;OLYMPIADES;7912359;14;;;;;PARIS;13
METRO;GABRIEL PERI;4998394;13;;;;;ASNIÈRES;
METRO;MARCEL SEMBAT;5521946;9;;;;;BOULOGNE BILLANCOURT;
METRO;GARE DE L'EST;22443106;4;5;7;;;PARIS;10
METRO;PERNETY;3050541;13;;;;;PARIS;14
METRO;PORTE DE VINCENNES;7633984;1;;;;;PARIS;12
METRO;DAUMESNIL;4954004;6;8;;;;PARIS;12
METRO;REAUMUR-SEBASTOPOL;5291106;3;4;;;;PARIS;3
METRO;LES HALLES;16069170;4;;;;;PARIS;1
METRO;QUAI DE LA GARE;3033927;6;;;;;PARIS;13
METRO;GEORGE V;6643262;1;;;;;PARIS;8
METRO;PORTE DE VANVES;4660158;13;;;;;PARIS;14
METRO;PONT DE LEVALLOIS-BECON;5068483;3;;;;;LEVALLOIS-PERRET;
METRO;PLACE D'ITALIE;10577276;5;6;7;;;PARIS;13
METRO;SAINT-MAUR;2924501;3;;;;;PARIS;11
METRO;REUILLY-DIDEROT;6328040;1;8;;;;PARIS;12
METRO;COLONEL FABIEN;4511921;2;;;;;PARIS;10
